                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.21215,                0.05629,                0.26508,                0.87554,                0.99707,                      1,                  0.995,                0.98966,                0.99707,                      1,                  0.995,                  0.995,                0.16582,                0.07509,                0.22152,                0.78867,              0.0004358,              0.0004358,              0.0004358
                     81,                0.20586,                0.08383,                0.26927,                0.86918,                0.99707,                      1,                  0.995,                0.98754,                0.99707,                      1,                  0.995,                  0.995,                0.16005,                0.07909,                0.21847,                0.78889,               0.000416,               0.000416,               0.000416
                     82,                0.24264,                0.07487,                0.28004,                0.90296,                0.99705,                      1,                  0.995,                0.98725,                0.99705,                      1,                  0.995,                  0.995,                0.15941,                0.07899,                0.22029,                0.78947,              0.0003962,              0.0003962,              0.0003962
                     83,                0.23038,                0.11132,                0.30229,                0.86513,                0.99707,                      1,                  0.995,                0.98725,                0.99707,                      1,                  0.995,                  0.995,                 0.1513,                0.07569,                0.22265,                0.79087,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.2308,                0.08341,                 0.2833,                0.87546,                0.99708,                      1,                  0.995,                0.98789,                0.99708,                      1,                  0.995,                  0.995,                0.15706,                0.07316,                0.22699,                0.79603,              0.0003566,              0.0003566,              0.0003566
                     85,                0.20034,                0.07555,                 0.2698,                0.86809,                0.99708,                      1,                  0.995,                0.98825,                0.99708,                      1,                  0.995,                  0.995,                0.15488,                0.06904,                 0.2224,                0.79807,              0.0003368,              0.0003368,              0.0003368
                     86,                0.22172,                0.09306,                0.28311,                0.86674,                0.99708,                      1,                  0.995,                0.98789,                0.99708,                      1,                  0.995,                  0.995,                0.15364,                0.06764,                0.21573,                0.79921,               0.000317,               0.000317,               0.000317
                     87,                0.22636,                0.07977,                0.27686,                 0.8912,                0.99706,                      1,                  0.995,                0.98689,                0.99706,                      1,                  0.995,                  0.995,                0.16515,                0.06533,                0.21088,                0.80034,              0.0002972,              0.0002972,              0.0002972
                     88,                0.19545,                 0.0695,                 0.2433,                0.85078,                0.99711,                      1,                  0.995,                0.98689,                0.99711,                      1,                  0.995,                  0.995,                0.16449,                0.06462,                  0.208,                0.80064,              0.0002774,              0.0002774,              0.0002774
                     89,                0.20511,                0.07024,                0.25269,                0.88794,                0.99712,                      1,                  0.995,                0.98584,                0.99712,                      1,                  0.995,                  0.995,                0.15371,                0.06474,                0.20904,                0.79599,              0.0002576,              0.0002576,              0.0002576
                     90,                0.14694,                0.03592,                0.35396,                0.82704,                0.99709,                      1,                  0.995,                0.98619,                0.99709,                      1,                  0.995,                  0.995,                0.14564,                0.06483,                0.21478,                0.79138,              0.0002378,              0.0002378,              0.0002378
                     91,                0.13368,                0.04203,                0.31723,                0.79409,                0.99708,                      1,                  0.995,                0.98619,                0.99708,                      1,                  0.995,                  0.995,                 0.1435,                0.06422,                0.22735,                0.79164,               0.000218,               0.000218,               0.000218
                     92,                0.12623,                0.04437,                0.27936,                0.84542,                0.99705,                      1,                  0.995,                0.98583,                0.99705,                      1,                  0.995,                  0.995,                0.15198,                0.06356,                0.24834,                0.79313,              0.0001982,              0.0001982,              0.0001982
                     93,                0.12509,                0.04753,                0.29582,                0.79593,                0.99699,                      1,                  0.995,                0.98689,                0.99699,                      1,                  0.995,                  0.995,                0.13936,                0.06279,                0.27493,                0.78761,              0.0001784,              0.0001784,              0.0001784
                     94,                0.12441,                0.04015,                0.30933,                0.80346,                0.99697,                      1,                  0.995,                0.98754,                0.99697,                      1,                  0.995,                  0.995,                0.12897,                0.06229,                0.29102,                0.78378,              0.0001586,              0.0001586,              0.0001586
                     95,                0.12861,                0.03781,                0.29123,                0.81459,                0.99708,                      1,                  0.995,                0.98966,                0.99708,                      1,                  0.995,                  0.995,                0.12712,                0.06135,                0.28591,                0.79177,              0.0001388,              0.0001388,              0.0001388
                     96,                0.12297,                0.03519,                0.29363,                0.79046,                0.99707,                      1,                  0.995,                0.98966,                0.99707,                      1,                  0.995,                  0.995,                0.12651,                0.06051,                0.26797,                0.79035,               0.000119,               0.000119,               0.000119
                     97,                0.12566,                0.03551,                0.28686,                0.83914,                0.99705,                      1,                  0.995,                 0.9886,                0.99705,                      1,                  0.995,                  0.995,                0.11704,                 0.0588,                0.23349,                0.78335,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.12073,                0.03844,                0.28572,                0.80816,                0.99709,                      1,                  0.995,                0.98825,                0.99709,                      1,                  0.995,                  0.995,                0.12094,                0.05819,                0.21198,                0.78445,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 0.1159,                0.04125,                0.26562,                0.78238,                0.99713,                      1,                  0.995,                0.98754,                0.99713,                      1,                  0.995,                  0.995,                0.12396,                0.05743,                0.19737,                0.78547,               5.96e-05,               5.96e-05,               5.96e-05
