                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.9367,                0.82997,                 0.8182,                0.72751,                0.55511,                0.63956,                0.25383,                 1.7365,                0.83434,                0.78198,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.9284,                0.84923,                0.82226,                0.75227,                0.51115,                0.61248,                0.26177,                 1.7806,                0.81774,                 0.7825,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.8922,                0.83976,                 0.8178,                0.76853,                0.46027,                0.57574,                  0.233,                 2.0343,                0.87373,                 0.7802,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.8894,                0.82481,                0.82119,                0.67685,                0.47698,                0.57352,                 0.2419,                 1.8704,                0.81696,                0.78444,               0.000317,               0.000317,               0.000317
                     87,                 1.9576,                 0.9129,                  0.827,                0.62782,                0.46767,                 0.5199,                0.22734,                 1.8632,                0.87426,                0.78435,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.9691,                0.86788,                 0.8136,                0.65753,                0.43564,                0.51356,                0.23188,                 1.7687,                0.87554,                0.78436,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.931,                0.90867,                0.81411,                0.59189,                0.36634,                0.44014,                0.15609,                 2.1222,                 1.0491,                0.78055,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.9487,                0.89935,                0.84358,                0.63235,                0.40594,                0.52511,                0.21388,                  1.959,                0.94012,                0.78038,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.9593,                0.80969,                0.82941,                0.70859,                0.38521,                0.50237,                0.21677,                 1.8153,                0.96266,                0.77898,               0.000218,               0.000218,               0.000218
                     92,                 1.7981,                0.82297,                0.82524,                  0.672,                0.44554,                0.54508,                0.25251,                 1.7379,                0.86997,                0.77809,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.8475,                  0.838,                0.83277,                0.74403,                 0.4605,                0.55885,                0.25784,                 1.7092,                0.88325,                0.77816,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.7417,                 0.7673,                0.83338,                0.65756,                0.42574,                0.50902,                0.21887,                 1.7849,                0.97442,                0.78001,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.7647,                0.78432,                0.82329,                0.70895,                0.42574,                0.54011,                 0.2347,                 1.7824,                0.95499,                0.77813,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.7905,                0.70911,                0.82327,                0.75627,                0.44554,                0.58199,                0.25428,                  1.779,                0.91909,                0.77639,               0.000119,               0.000119,               0.000119
                     97,                 1.8062,                 0.7749,                0.83057,                0.76351,                0.45545,                0.56786,                0.24309,                 1.8097,                0.93898,                0.77726,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.8027,                0.80364,                0.82976,                0.68154,                0.43564,                0.56395,                0.25228,                 1.7253,                0.87551,                0.77643,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.7583,                0.72239,                0.82804,                0.70433,                0.47174,                 0.5776,                0.26263,                 1.7473,                0.85979,                0.77602,               5.96e-05,               5.96e-05,               5.96e-05
